F1,blue
F2,seagreen
F3,deepskyblue
F4,magenta2
F5,dodgerblue3
F6,darkblue
F7,blue1
F8,burlywood4
F9,azure2
F10,orchid4
F11,cornflowerblue
F12,springgreen4
F13,gold
F14,brown3
F15,snow
F16,sandybrown
F17,darkgoldenrod2
F18,darkslateblue
F19,lightblue
F20,plum4
F21,hotpink
F22,blueviolet
F23,burlywood
F24,mediumslateblue
F25,linen
F26,blue2
F27,wheat1
F28,honeydew
F29,orangered
F30,firebrick4
F31,palegreen2
F32,coral3
F33,orange4
F34,red
F35,turquoise1
F36,navajowhite1
F37,darkorchid
F38,red2
F39,palegreen4
F40,lightgreen
F41,darkred
F42,orange2
F43,maroon4
F44,brown1
F45,violetred4
F46,deepskyblue4
F47,darkolivegreen3
F48,lightskyblue3
F49,orange
F50,orchid3
F51,deeppink
F52,navajowhite4
F53,navajowhite3
F54,maroon2
F55,lightsalmon1
F56,red4
F57,darkorchid4
F58,lightsteelblue4
F59,cyan4
F60,chocolate1
F61,chocolate4
F62,tomato3
F63,lightgoldenrod3
F64,mediumspringgreen
F65,lightgoldenrodyellow
F66,salmon4
F67,seagreen1
F68,deeppink
F69,darkgoldenrod
F70,aliceblue
F71,yellowgreen
F72,ghostwhite
F73,magenta1
F74,snow1
F75,hotpink3
F76,lightgoldenrod1
F77,lightsteelblue
F78,palegreen3
F79,magenta3
F80,white
F81,lavender
F82,darkolivegreen
F83,plum1
F84,lightsalmon
F85,lightslateblue
F86,turquoise4
F87,darkseagreen3
F88,mediumpurple4
F89,lemonchiffon
F90,indianred4
F91,lightsteelblue1
F92,ivory
F93,purple1
F94,ivory4
F95,chartreuse2
F96,lightcoral
F97,indianred3
F98,orchid1
F99,goldenrod4
F100,mediumorchid3
F101,lightyellow4
F102,peachpuff4
F103,royalblue
F104,salmon1
F105,skyblue2
F106,blanchedalmond
F107,darkkhaki
F108,lightsteelblue2
F109,lightpink
F110,darkseagreen4
F111,antiquewhite
F112,lawngreen
F113,greenyellow
F114,red3
F115,thistle3
F116,mintcream
F117,lightpink2
F118,thistle1
F119,lemonchiffon1
F120,gold1
F121,darkturquoise
F122,violetred3
F123,olivedrab4
F124,tan
F125,ivory1
F126,darksalmon
F127,rosybrown3
F128,tomato
F129,honeydew2
F130,yellow1
F131,khaki1
F132,springgreen1
F133,snow2
F134,tomato4
F135,beige
F136,cadetblue2
F137,thistle4
F138,darkorange3
F139,palevioletred3
F140,brown
F141,chartreuse4
F142,dodgerblue1
F143,purple4
F144,snow3
F145,tan4
F146,darkorange1
F147,bisque2
F148,darkgoldenrod4
F149,lightcyan1
F150,cyan3
F151,sienna
F152,coral1
F153,seagreen4
F154,deepskyblue1
F155,brown2
F156,olivedrab2
F157,sienna2
F158,navyblue
F159,peru
F160,tomato1
F161,springgreen2
F162,khaki
F163,wheat4
F164,paleturquoise3
F165,mediumorchid4
F166,maroon1
F167,dodgerblue4
F168,lightsalmon4
F169,antiquewhite2
F170,bisque1
F171,lemonchiffon3
F172,purple
F173,orangered1
F174,seashell3
F175,cyan1
F176,steelblue1
F177,palevioletred4
F178,slateblue
F179,burlywood3
F180,red1
F181,powderblue
F182,springgreen3
F183,cadetblue
F184,limegreen
F185,firebrick
F186,mediumaquamarine
F187,peachpuff2
F188,royalblue1
F189,lightcyan2
F190,burlywood1
F191,tan2
F192,mediumseagreen
F193,aquamarine
F194,lavenderblush3
F195,salmon2
F196,lavenderblush2
F197,chartreuse
F198,darkorange4
F199,deeppink4
F200,maroon3
